troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t-0.2292351950940216
1tbedt"bolster"tbedt1.0t-0.16871954694455235
2tbedt"mattress cover"tbedt1.0t-0.36159370270266133
154t"refrigerator"tringt"mortise lock"t0.0t-0.018533577849548503
155t"refrigerator"tkeywayt"mortise lock"t0.0t0.0850087004180577
156t"refrigerator"t"cotter pin"t"mortise lock"t0.0t-0.11621247754186623
157t"refrigerator"tspringt"mortise lock"t0.0t0.12846470474845165
158t"refrigerator"t"rotor"t"mortise lock"t0.0t0.0802250245378608
159t"refrigerator"tcylinder caset"mortise lock"t0.0t0.029096635940070885
160t"refrigerator"tkeyt"mortise lock"t0.0t0.1132890837074869
161t"refrigerator"t"faceplate"t"mortise lock"t0.0t0.07963480740565507
162t"refrigerator"t"dead bolt"t"mortise lock"t0.0t-0.093948836190735
163t"refrigerator"tcylindert"mortise lock"t0.0t0.10727317372953518
164t"refrigerator"t"stator"t"mortise lock"t0.0t0.037131168316897584
165t"refrigerator"t"strike plate"t"mortise lock"t0.0t0.028379230211412292
166t"refrigerator"t"valve seat shaft"t"toilet"t0.0t-0.078304669435427
167t"refrigerator"t"tank lid"t"toilet"t0.0t-0.022195343771005835
168t"refrigerator"tconical washert"toilet"t0.0t0.13072173894601657
169t"refrigerator"t"lift chain"t"toilet"t0.0t-0.09346437529297631
170t"refrigerator"t"seat"t"toilet"t0.0t0.10413757621762493
171t"refrigerator"t"shutoff valve"t"toilet"t0.0t-0.0281688479667375
172t"refrigerator"t"trip lever"t"toilet"t0.0t0.03512025220524665
173t"refrigerator"tball-cock supply valvet"toilet"t0.0t0.1342752010487495
174t"refrigerator"t"toilet bowl"t"toilet"t0.0t-0.0932849314515021
175t"refrigerator"tflush handlet"toilet"t0.0t0.10309430822831983
176t"refrigerator"twax sealt"toilet"t0.0t0.08756047682031694
177t"refrigerator"t"tank ball"t"toilet"t0.0t-0.1562102158015558
178t"refrigerator"t"float ball"t"toilet"t0.0t-0.12624227193565268
179t"refrigerator"t"filler tube"t"toilet"t0.0t0.15102479095163873
180t"refrigerator"t"waste pipe"t"toilet"t0.0t-0.10668375555011006
181t"refrigerator"t"seat cover"t"toilet"t0.0t-0.03423518495192168
182t"refrigerator"t"cold-water supply line"t"toilet"t0.0t0.29068977267280344
183t"refrigerator"t"overflow tube"t"toilet"t0.0t0.08865789824580089
184t"refrigerator"t"trap"t"toilet"t0.0t0.06482165617295645
185t"refrigerator"t"refill tube"t"toilet"t0.0t0.13033515674768098
186tdishwashertpillowtbedt0.0t0.02153069199201575
187tdishwashert"bolster"tbedt0.0t0.1297791940631794
188tdishwashert"mattress cover"tbedt0.0t0.14994821729494612
189tdishwashertlegtbedt0.0t0.0013072909599884097
190tdishwashertbox springtbedt0.0t0.2456520155096573
191tdishwashertheadboardtbedt0.0t0.1247080054642365
192tdishwashert"mattress"tbedt0.0t-0.018659565042780803
193tdishwashert"pillow protector"tbedt0.0t0.19790782403502685
194tdishwashert"elastic"tbedt0.0t0.03984988354553339
195tdishwashert"footboard"tbedt0.0t0.18416485708627484
196tdishwashert"switch"t"refrigerator"t0.0t0.008118112649702155
197tdishwashert"refrigerator compartment"t"refrigerator"t0.0t0.21454213638249126
198tdishwashert"egg tray"t"refrigerator"t0.0t0.3467192402730909
199tdishwashertshelf channelt"refrigerator"t0.0t0.24724661851897806
200tdishwashert"magnetic gasket"t"refrigerator"t0.0t0.09580171604666245
201tdishwashert"storage door"t"refrigerator"t0.0t0.19688663011317653
202tdishwashertfreezer doort"refrigerator"t0.0t0.21944617306156766
203tdishwashertguard railt"refrigerator"t0.0t0.22427954335362263
204tdishwashertcrispert"refrigerator"t0.0t0.1662183183042283
205tdishwashertglass covert"refrigerator"t0.0t0.22986007033955297
206tdishwashert"butter compartment"t"refrigerator"t0.0t0.22252396212767545
207tdishwashert"thermostat control"t"refrigerator"t0.0t-0.05442698875302194
208tdishwashert"freezer compartment"t"refrigerator"t0.0t0.2949241857062526
209tdishwashert"ice cube tray"t"refrigerator"t0.0t0.32938953563313617
210tdishwashert"meat keeper"t"refrigerator"t0.0t0.15264358933353878
211tdishwashert"door stop"t"refrigerator"t0.0t0.22166511715750462
212tdishwashertshelft"refrigerator"t0.0t-0.010419732827317056
213tdishwashert"dairy compartment"t"refrigerator"t0.0t0.28697789480002983
214tdishwashertdoor shelft"refrigerator"t0.0t0.23897461542110884
215tdishwashertdrain hosetdishwashert1.0t0.34889220858627656
216tdishwashert"overflow protection switch"tdishwashert1.0t0.10095320142499242
217tdishwashert"tub"tdishwashert1.0t-0.028672331972418502
218tdishwashertpumptdishwashert1.0t0.010370247938314129
219tdishwashert"gasket"tdishwashert1.0t0.22521159928474146
220tdishwashert"water hose"tdishwashert1.0t0.27311625956845614
221tdishwashert"heating element"tdishwashert1.0t0.31163933148261597
222tdishwashertracktdishwashert1.0t-0.004727094369867405
223tdishwashert"cutlery basket"tdishwashert1.0t0.16908529089963617
224tdishwashert"wash tower"tdishwashert1.0t0.13831504795084723
225tdishwashert"motor"tdishwashert1.0t0.027206931022998742
226tdishwashert"detergent dispenser"tdishwashert1.0t0.01610366991998724
227tdishwashertslidetdishwashert1.0t-0.0007270202289864388
228tdishwashert"leveling foot"tdishwashert1.0t0.22564362312790068
229tdishwashert"insulating material"tdishwashert1.0t0.30079934221908466
230tdishwashertspray armtdishwashert1.0t0.21581436676443294
231tdishwashertrinse-aid dispensertdishwashert1.0t0.12288224403387735
232tdishwashertlocktdoort0.0t-0.02695435700100069
233tdishwashertcornicetdoort0.0t0.053659456258950744
234tdishwashert"hanging stile"tdoort0.0t0.49460323551797325
235tdishwashert"entablature"tdoort0.0t0.09790116278931293
236tdishwashert"top rail"tdoort0.0t0.21121593607969663
237tdishwashertmiddle paneltdoort0.0t0.12131443990660054
238tdishwashert"bottom rail"tdoort0.0t0.20608919355421468
239tdishwashertpaneltdoort0.0t0.00026612974122308577
240tdishwashertjambtdoort0.0t0.20361845022965802
241tdishwashertdoorknobtdoort0.0t0.249670779589221
242tdishwashert"threshold"tdoort0.0t0.031697010165991
243tdishwashert"weatherboard"tdoort0.0t0.22796936274451451
244tdishwashertlock railtdoort0.0t0.24079833909948534
245tdishwashert"shutting stile"tdoort0.0t0.6761712601106835
246tdishwashertheadertdoort0.0t0.022230470575328818
247tdishwashertringt"mortise lock"t0.0t-0.07060289822804008
248tdishwashertkeywayt"mortise lock"t0.0t0.14148214068193402
249tdishwashert"cotter pin"t"mortise lock"t0.0t0.24781551875237576
250tdishwashertspringt"mortise lock"t0.0t0.005942850054849685
251tdishwashert"rotor"t"mortise lock"t0.0t0.06546097008767665
252tdishwashertcylinder caset"mortise lock"t0.0t0.33665877494624036
253tdishwashertkeyt"mortise lock"t0.0t-0.02440310381300202
254tdishwashert"faceplate"t"mortise lock"t0.0t0.20656819788178363
255tdishwashert"dead bolt"t"mortise lock"t0.0t0.24819947829565256
256tdishwashertcylindert"mortise lock"t0.0t0.05578431026906318
257tdishwashert"stator"t"mortise lock"t0.0t0.19191355614004849
258tdishwashert"strike plate"t"mortise lock"t0.0t0.18432832598412333
259tdishwashert"valve seat shaft"t"toilet"t0.0t0.2812150384421255
260tdishwashert"tank lid"t"toilet"t0.0t0.2484824632621919
261tdishwashertconical washert"toilet"t0.0t0.29436288654314763
262tdishwashert"lift chain"t"toilet"t0.0t0.2022999890393318
263tdishwashert"seat"t"toilet"t0.0t-0.024816305260812934
264tdishwashert"shutoff valve"t"toilet"t0.0t0.2954651746179412
265tdishwashert"trip lever"t"toilet"t0.0t0.2114617132927915
266tdishwashertball-cock supply valvet"toilet"t0.0t0.049912230287452175
267tdishwashert"toilet bowl"t"toilet"t0.0t0.19257073429587018
268tdishwashertflush handlet"toilet"t0.0t0.28352491322045176
269tdishwashertwax sealt"toilet"t0.0t0.2978519205469148
270tdishwashert"tank ball"t"toilet"t0.0t0.16609080152410724
271tdishwashert"float ball"t"toilet"t0.0t0.206390777743798
272tdishwashert"filler tube"t"toilet"t0.0t0.27229129226163246
273tdishwashert"waste pipe"t"toilet"t0.0t0.2459059246612605
274tdishwashert"seat cover"t"toilet"t0.0t0.09784789400326105
275tdishwashert"cold-water supply line"t"toilet"t0.0t0.09578793006578784
276tdishwashert"overflow tube"t"toilet"t0.0t0.22284456888661625
277tdishwashert"trap"t"toilet"t0.0t-0.042480280613009895
278tdishwashert"refill tube"t"toilet"t0.0t0.30251785461884323
279tdoortpillowtbedt0.0t-0.023077259785389614
280tdoort"bolster"tbedt0.0t0.055467889049092486
281tdoort"mattress cover"tbedt0.0t-0.04171065015533188
282tdoortlegtbedt0.0t-0.05174607571171171
283tdoortbox springtbedt0.0t0.004954371114726629
284tdoortheadboardtbedt0.0t0.013380929870939392
285tdoort"mattress"tbedt0.0t-0.04935616802448901
286tdoort"pillow protector"tbedt0.0t0.04163477854971859
287tdoort"elastic"tbedt0.0t-0.043763459948913556
288tdoort"footboard"tbedt0.0t0.028827983827458933
289tdoort"switch"t"refrigerator"t0.0t6.610773142275717e-05
290tdoort"refrigerator compartment"t"refrigerator"t0.0t0.0312114646830882
291tdoort"egg tray"t"refrigerator"t0.0t0.07320358175691438
292tdoortshelf channelt"refrigerator"t0.0t0.09258727575755009
293tdoort"magnetic gasket"t"refrigerator"t0.0t0.05745523232031698
294tdoort"storage door"t"refrigerator"t0.0t-0.022026250269303924
295tdoortfreezer doort"refrigerator"t0.0t0.04516778077062842
296tdoortguard railt"refrigerator"t0.0t0.02856134688235668
297tdoortcrispert"refrigerator"t0.0t0.010292848456527899
298tdoortglass covert"refrigerator"t0.0t0.04158082127219323
299tdoort"butter compartment"t"refrigerator"t0.0t0.06527645128392874
300tdoort"thermostat control"t"refrigerator"t0.0t0.03891948605831032
301tdoort"freezer compartment"t"refrigerator"t0.0t0.08579660451498093
302tdoort"ice cube tray"t"refrigerator"t0.0t0.045333898330287455
303tdoort"meat keeper"t"refrigerator"t0.0t0.03631450957317859
304tdoort"door stop"t"refrigerator"t0.0t-0.02216785614827417
305tdoortshelft"refrigerator"t0.0t-0.013183128288027104
306tdoort"dairy compartment"t"refrigerator"t0.0t0.04757615817075123
307tdoortdoor shelft"refrigerator"t0.0t0.01874047864624478
308tdoortdrain hosetdishwashert0.0t0.12422436971211889
309tdoort"overflow protection switch"tdishwashert0.0t0.04992801368134879
310tdoort"tub"tdishwashert0.0t0.02216937411016237
311tdoortpumptdishwashert0.0t0.01373003876912391
312tdoort"gasket"tdishwashert0.0t0.006248182312062865
313tdoort"water hose"tdishwashert0.0t0.020943860333212046
314tdoort"heating element"tdishwashert0.0t0.03938103304792643
315tdoortracktdishwashert0.0t-0.0006967876727317534
316tdoort"cutlery basket"tdishwashert0.0t0.12303643604857951
317tdoort"wash tower"tdishwashert0.0t0.037669961076007896
318tdoort"motor"tdishwashert0.0t0.02953961905514865
319tdoort"detergent dispenser"tdishwashert0.0t0.12147776112370173
320tdoortslidetdishwashert0.0t-0.003465137351231615
321tdoort"leveling foot"tdishwashert0.0t0.12177461197593696
322tdoort"insulating material"tdishwashert0.0t0.14257223689899645
323tdoortspray armtdishwashert0.0t0.09259007848286767
324tdoortrinse-aid dispensertdishwashert0.0t0.21993719829937955
325tdoortlocktdoort1.0t-0.003461875696884601
326tdoortcornicetdoort1.0t0.09443136097553138
327tdoort"hanging stile"tdoort1.0t0.07976171319896715
328tdoort"entablature"tdoort1.0t0.06696350424850765
329tdoort"top rail"tdoort1.0t0.11523606736480824
330tdoortmiddle paneltdoort1.0t0.09286428161256866
331tdoort"bottom rail"tdoort1.0t0.13063674720824495
332tdoortpaneltdoort1.0t0.030992133974047025
333tdoortjambtdoort1.0t0.018738792738940066
334tdoortdoorknobtdoort1.0t-0.01601986733438304
335tdoort"threshold"tdoort1.0t0.06258165970092386
336tdoort"weatherboard"tdoort1.0t0.01523975946894092
337tdoortlock railtdoort1.0t0.041288761741785994
338tdoort"shutting stile"tdoort1.0t0.17470826728797229
339tdoortheadertdoort1.0t0.006307886148413291
340tdoortringt"mortise lock"t0.0t-0.09918014267695259
341tdoortkeywayt"mortise lock"t0.0t0.03049508546694503
342tdoort"cotter pin"t"mortise lock"t0.0t-0.004190432786388827
343tdoortspringt"mortise lock"t0.0t0.007963663962742173
344tdoort"rotor"t"mortise lock"t0.0t0.04000034147044514
345tdoortcylinder caset"mortise lock"t0.0t0.0700511112093301
346tdoortkeyt"mortise lock"t0.0t0.01569899452142984
347tdoort"faceplate"t"mortise lock"t0.0t0.07125535893347412
348tdoort"dead bolt"t"mortise lock"t0.0t0.023074414048755064
349tdoortcylindert"mortise lock"t0.0t-0.007769645774790009
350tdoort"stator"t"mortise lock"t0.0t0.050326838522475714
351tdoort"strike plate"t"mortise lock"t0.0t0.07760237275260107
352tdoort"valve seat shaft"t"toilet"t0.0t0.02339987716080106
353tdoort"tank lid"t"toilet"t0.0t0.052203439732999575
354tdoortconical washert"toilet"t0.0t0.12379131507530008
355tdoort"lift chain"t"toilet"t0.0t0.010768301118291934
356tdoort"seat"t"toilet"t0.0t-0.037623072835054575
357tdoort"shutoff valve"t"toilet"t0.0t0.09884445388029307
358tdoort"trip lever"t"toilet"t0.0t0.09670735107843909
359tdoortball-cock supply valvet"toilet"t0.0t0.16617460450088847
360tdoort"toilet bowl"t"toilet"t0.0t0.0017803549628363912
361tdoortflush handlet"toilet"t0.0t0.1344068238957167
362tdoortwax sealt"toilet"t0.0t0.09707246366736995
363tdoort"tank ball"t"toilet"t0.0t-0.07483925009564382
364tdoort"float ball"t"toilet"t0.0t-0.03672858724766136
365tdoort"filler tube"t"toilet"t0.0t0.11796407258616995
366tdoort"waste pipe"t"toilet"t0.0t0.035387522679467015
367tdoort"seat cover"t"toilet"t0.0t-0.01564988583205416
368tdoort"cold-water supply line"t"toilet"t0.0t0.2026046047746514
369tdoort"overflow tube"t"toilet"t0.0t0.12715719613081497
370tdoort"trap"t"toilet"t0.0t-0.00327070727104703
371tdoort"refill tube"t"toilet"t0.0t0.11771194445550258
372t"mortise lock"tpillowtbedt0.0t-0.06409220269765444
373t"mortise lock"t"bolster"tbedt0.0t-0.08137443916550043
374t"mortise lock"t"mattress cover"tbedt0.0t-0.06451883690469305
375t"mortise lock"tlegtbedt0.0t-0.053527792238889045
376t"mortise lock"tbox springtbedt0.0t-0.17799933156561462
377t"mortise lock"theadboardtbedt0.0t-0.16195693698357816
378t"mortise lock"t"mattress"tbedt0.0t-0.05177121368878636
379t"mortise lock"t"pillow protector"tbedt0.0t-0.12151094997659093
380t"mortise lock"t"elastic"tbedt0.0t-0.02509406667156352
381t"mortise lock"t"footboard"tbedt0.0t-0.142441007208139
382t"mortise lock"t"switch"t"refrigerator"t0.0t-0.07889144062652415
383t"mortise lock"t"refrigerator compartment"t"refrigerator"t0.0t-0.1637615947766406
384t"mortise lock"t"egg tray"t"refrigerator"t0.0t-0.09864446007316909
385t"mortise lock"tshelf channelt"refrigerator"t0.0t-0.10552565708884759
386t"mortise lock"t"magnetic gasket"t"refrigerator"t0.0t-0.0024804744254412667
387t"mortise lock"t"storage door"t"refrigerator"t0.0t-0.1218598921779833
388t"mortise lock"tfreezer doort"refrigerator"t0.0t-0.1684738430293217
389t"mortise lock"tguard railt"refrigerator"t0.0t-0.18370442111753174
390t"mortise lock"tcrispert"refrigerator"t0.0t-0.15529983201150685
391t"mortise lock"tglass covert"refrigerator"t0.0t-0.15174341142492132
392t"mortise lock"t"butter compartment"t"refrigerator"t0.0t-0.16000847998067996
393t"mortise lock"t"thermostat control"t"refrigerator"t0.0t0.06100295347706368
394t"mortise lock"t"freezer compartment"t"refrigerator"t0.0t-0.23565029682728042
395t"mortise lock"t"ice cube tray"t"refrigerator"t0.0t-0.14036739985699495
396t"mortise lock"t"meat keeper"t"refrigerator"t0.0t-0.1250610391419655
397t"mortise lock"t"door stop"t"refrigerator"t0.0t-0.21476068025358816
398t"mortise lock"tshelft"refrigerator"t0.0t-0.09879730555628825
399t"mortise lock"t"dairy compartment"t"refrigerator"t0.0t-0.13641260487409493
400t"mortise lock"tdoor shelft"refrigerator"t0.0t-0.15652193350317356
401t"mortise lock"tdrain hosetdishwashert0.0t-0.18904554074029353
402t"mortise lock"t"overflow protection switch"tdishwashert0.0t-0.02411492019084553
403t"mortise lock"t"tub"tdishwashert0.0t-0.10961332500808645
404t"mortise lock"tpumptdishwashert0.0t-0.06147513010724444
405t"mortise lock"t"gasket"tdishwashert0.0t-0.12596655487582806
406t"mortise lock"t"water hose"tdishwashert0.0t-0.18212887044279083
407t"mortise lock"t"heating element"tdishwashert0.0t-0.18476445583728127
408t"mortise lock"tracktdishwashert0.0t-0.043512987295350886
409t"mortise lock"t"cutlery basket"tdishwashert0.0t-0.15550734420269197
410t"mortise lock"t"wash tower"tdishwashert0.0t-0.17442762614502463
411t"mortise lock"t"motor"tdishwashert0.0t-0.06717452505019401
412t"mortise lock"t"detergent dispenser"tdishwashert0.0t-0.07053188155041083
413t"mortise lock"tslidetdishwashert0.0t-0.08509409594530284
414t"mortise lock"t"leveling foot"tdishwashert0.0t-0.06472235091151564
415t"mortise lock"t"insulating material"tdishwashert0.0t-0.04311866620794427
416t"mortise lock"tspray armtdishwashert0.0t-0.20514781476201505
417t"mortise lock"trinse-aid dispensertdishwashert0.0t-0.17263358334890597
418t"mortise lock"tlocktdoort0.0t-0.10154065818116682
419t"mortise lock"tcornicetdoort0.0t0.03608316267913353
420t"mortise lock"t"hanging stile"tdoort0.0t-0.16594539888856144
421t"mortise lock"t"entablature"tdoort0.0t0.06393548007076345
422t"mortise lock"t"top rail"tdoort0.0t-0.18212028731679397
423t"mortise lock"tmiddle paneltdoort0.0t-0.06835719204931716
424t"mortise lock"t"bottom rail"tdoort0.0t-0.19247350680424247
425t"mortise lock"tpaneltdoort0.0t-0.013824092101170783
