troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t-0.2292351950940216
1tbedt"bolster"tbedt1.0t-0.16871954694455235
2tbedt"mattress cover"tbedt1.0t-0.36159370270266133
154t"refrigerator"tringt"mortise lock"t0.0t-0.018533577849548503
155t"refrigerator"tkeywayt"mortise lock"t0.0t0.0850087004180577
156t"refrigerator"t"cotter pin"t"mortise lock"t0.0t-0.11621247754186623
157t"refrigerator"tspringt"mortise lock"t0.0t0.12846470474845165
158t"refrigerator"t"rotor"t"mortise lock"t0.0t0.0802250245378608
159t"refrigerator"tcylinder caset"mortise lock"t0.0t0.029096635940070885
160t"refrigerator"tkeyt"mortise lock"t0.0t0.1132890837074869
161t"refrigerator"t"faceplate"t"mortise lock"t0.0t0.07963480740565507
162t"refrigerator"t"dead bolt"t"mortise lock"t0.0t-0.093948836190735
163t"refrigerator"tcylindert"mortise lock"t0.0t0.10727317372953518
164t"refrigerator"t"stator"t"mortise lock"t0.0t0.037131168316897584
165t"refrigerator"t"strike plate"t"mortise lock"t0.0t0.028379230211412292
166t"refrigerator"t"valve seat shaft"t"toilet"t0.0t-0.078304669435427
167t"refrigerator"t"tank lid"t"toilet"t0.0t-0.022195343771005835
168t"refrigerator"tconical washert"toilet"t0.0t0.13072173894601657
169t"refrigerator"t"lift chain"t"toilet"t0.0t-0.09346437529297631
170t"refrigerator"t"seat"t"toilet"t0.0t0.10413757621762493
171t"refrigerator"t"shutoff valve"t"toilet"t0.0t-0.0281688479667375
172t"refrigerator"t"trip lever"t"toilet"t0.0t0.03512025220524665
173t"refrigerator"tball-cock supply valvet"toilet"t0.0t0.1342752010487495
174t"refrigerator"t"toilet bowl"t"toilet"t0.0t-0.0932849314515021
175t"refrigerator"tflush handlet"toilet"t0.0t0.10309430822831983
176t"refrigerator"twax sealt"toilet"t0.0t0.08756047682031694
177t"refrigerator"t"tank ball"t"toilet"t0.0t-0.1562102158015558
178t"refrigerator"t"float ball"t"toilet"t0.0t-0.12624227193565268
179t"refrigerator"t"filler tube"t"toilet"t0.0t0.15102479095163873
180t"refrigerator"t"waste pipe"t"toilet"t0.0t-0.10668375555011006
181t"refrigerator"t"seat cover"t"toilet"t0.0t-0.03423518495192168
182t"refrigerator"t"cold-water supply line"t"toilet"t0.0t0.29068977267280344
183t"refrigerator"t"overflow tube"t"toilet"t0.0t0.08865789824580089
184t"refrigerator"t"trap"t"toilet"t0.0t0.06482165617295645
185t"refrigerator"t"refill tube"t"toilet"t0.0t0.13033515674768098
186tdishwashertpillowtbedt0.0t0.078946845760407
187tdishwashert"bolster"tbedt0.0t0.11379209616074559
188tdishwashert"mattress cover"tbedt0.0t0.129742905884656
189tdishwashertlegtbedt0.0t0.10424465264725903
190tdishwashertbox springtbedt0.0t0.1354111853272238
191tdishwashertheadboardtbedt0.0t0.15823219710205053
192tdishwashert"mattress"tbedt0.0t0.13115873534771327
193tdishwashert"pillow protector"tbedt0.0t0.1611141527386432
194tdishwashert"elastic"tbedt0.0t0.10108042844669951
195tdishwashert"footboard"tbedt0.0t0.15068112363903532
196tdishwashert"switch"t"refrigerator"t0.0t0.14703840745541197
197tdishwashert"refrigerator compartment"t"refrigerator"t0.0t0.17909518104371513
198tdishwashert"egg tray"t"refrigerator"t0.0t0.11122197834814616
199tdishwashertshelf channelt"refrigerator"t0.0t0.1288570336737775
200tdishwashert"magnetic gasket"t"refrigerator"t0.0t0.10603269784893203
201tdishwashert"storage door"t"refrigerator"t0.0t0.11952941041643607
202tdishwashertfreezer doort"refrigerator"t0.0t0.0868205787825979
203tdishwashertguard railt"refrigerator"t0.0t0.15753480827135782
204tdishwashertcrispert"refrigerator"t0.0t0.16164132202328418
205tdishwashertglass covert"refrigerator"t0.0t0.11932122369457329
206tdishwashert"butter compartment"t"refrigerator"t0.0t0.17529161332084925
207tdishwashert"thermostat control"t"refrigerator"t0.0t0.1757602066920352
208tdishwashert"freezer compartment"t"refrigerator"t0.0t0.19159115480884362
209tdishwashert"ice cube tray"t"refrigerator"t0.0t0.14383982989177224
210tdishwashert"meat keeper"t"refrigerator"t0.0t0.1941038257182184
211tdishwashert"door stop"t"refrigerator"t0.0t0.18646934222749734
212tdishwashertshelft"refrigerator"t0.0t0.1759304601706204
213tdishwashert"dairy compartment"t"refrigerator"t0.0t0.19507445657296332
214tdishwashertdoor shelft"refrigerator"t0.0t0.16780400837029832
215tdishwashertdrain hosetdishwashert1.0t0.12724789251191201
216tdishwashert"overflow protection switch"tdishwashert1.0t0.184737202918539
217tdishwashert"tub"tdishwashert1.0t0.18727923108262068
218tdishwashertpumptdishwashert1.0t0.15477485681529898
219tdishwashert"gasket"tdishwashert1.0t0.10480705243095013
220tdishwashert"water hose"tdishwashert1.0t0.12080384128191837
221tdishwashert"heating element"tdishwashert1.0t0.08437998086764759
222tdishwashertracktdishwashert1.0t0.13888576690000742
223tdishwashert"cutlery basket"tdishwashert1.0t0.19185541241774742
224tdishwashert"wash tower"tdishwashert1.0t0.22600805827930395
225tdishwashert"motor"tdishwashert1.0t0.12101707833538448
226tdishwashert"detergent dispenser"tdishwashert1.0t0.2379333920708282
227tdishwashertslidetdishwashert1.0t0.17419964420131714
228tdishwashert"leveling foot"tdishwashert1.0t0.10018535604573982
229tdishwashert"insulating material"tdishwashert1.0t-0.02805702651450389
230tdishwashertspray armtdishwashert1.0t0.15887765802755274
231tdishwashertrinse-aid dispensertdishwashert1.0t0.26640797245660286
232tdishwashertlocktdoort0.0t0.09163573065916084
233tdishwashertcornicetdoort0.0t0.0751626993634666
234tdishwashert"hanging stile"tdoort0.0t0.08211804046528362
235tdishwashert"entablature"tdoort0.0t0.08978501593206675
236tdishwashert"top rail"tdoort0.0t0.09550729855774466
237tdishwashertmiddle paneltdoort0.0t0.09465561313135808
238tdishwashert"bottom rail"tdoort0.0t0.08010785462930112
239tdishwashertpaneltdoort0.0t0.216618201872242
240tdishwashertjambtdoort0.0t0.02736528393702348
241tdishwashertdoorknobtdoort0.0t0.13454539514403502
242tdishwashert"threshold"tdoort0.0t0.09010365814565784
243tdishwashert"weatherboard"tdoort0.0t0.1456429502681912
244tdishwashertlock railtdoort0.0t0.10748147548817776
245tdishwashert"shutting stile"tdoort0.0t0.045891869716295684
246tdishwashertheadertdoort0.0t0.1361424167550978
247tdishwashertringt"mortise lock"t0.0t0.10834394194439681
248tdishwashertkeywayt"mortise lock"t0.0t0.11015788950863886
249tdishwashert"cotter pin"t"mortise lock"t0.0t0.08242839605614476
250tdishwashertspringt"mortise lock"t0.0t0.1366214726789073
251tdishwashert"rotor"t"mortise lock"t0.0t0.08823422029974076
252tdishwashertcylinder caset"mortise lock"t0.0t0.06533663004175358
253tdishwashertkeyt"mortise lock"t0.0t0.12130903657327892
254tdishwashert"faceplate"t"mortise lock"t0.0t0.09983268471946095
255tdishwashert"dead bolt"t"mortise lock"t0.0t0.08288596394657943
256tdishwashertcylindert"mortise lock"t0.0t0.10902787487901953
257tdishwashert"stator"t"mortise lock"t0.0t0.21734438230310318
258tdishwashert"strike plate"t"mortise lock"t0.0t0.05185223719079064
259tdishwashert"valve seat shaft"t"toilet"t0.0t0.046895493423847044
260tdishwashert"tank lid"t"toilet"t0.0t0.10016332247615657
261tdishwashertconical washert"toilet"t0.0t0.1397331985959864
262tdishwashert"lift chain"t"toilet"t0.0t0.10144331911066448
263tdishwashert"seat"t"toilet"t0.0t0.1558196930148691
264tdishwashert"shutoff valve"t"toilet"t0.0t0.06977970568699354
265tdishwashert"trip lever"t"toilet"t0.0t0.06993010592570172
266tdishwashertball-cock supply valvet"toilet"t0.0t0.13429906635001085
267tdishwashert"toilet bowl"t"toilet"t0.0t0.11002662380007507
268tdishwashertflush handlet"toilet"t0.0t0.06414450951084745
269tdishwashertwax sealt"toilet"t0.0t0.08978013199761806
270tdishwashert"tank ball"t"toilet"t0.0t0.10725283146051376
271tdishwashert"float ball"t"toilet"t0.0t0.07864522253580601
272tdishwashert"filler tube"t"toilet"t0.0t0.07206762530855632
273tdishwashert"waste pipe"t"toilet"t0.0t0.12233712099139421
274tdishwashert"seat cover"t"toilet"t0.0t0.16591187590898393
275tdishwashert"cold-water supply line"t"toilet"t0.0t0.12848831379107398
276tdishwashert"overflow tube"t"toilet"t0.0t0.08440521704197242
277tdishwashert"trap"t"toilet"t0.0t0.12990500799938282
278tdishwashert"refill tube"t"toilet"t0.0t0.11952976425676748
279tdoortpillowtbedt0.0t-0.023077259785389614
280tdoort"bolster"tbedt0.0t0.055467889049092486
281tdoort"mattress cover"tbedt0.0t-0.04171065015533188
282tdoortlegtbedt0.0t-0.05174607571171171
283tdoortbox springtbedt0.0t0.004954371114726629
284tdoortheadboardtbedt0.0t0.013380929870939392
285tdoort"mattress"tbedt0.0t-0.04935616802448901
286tdoort"pillow protector"tbedt0.0t0.04163477854971859
287tdoort"elastic"tbedt0.0t-0.043763459948913556
288tdoort"footboard"tbedt0.0t0.028827983827458933
289tdoort"switch"t"refrigerator"t0.0t6.610773142275717e-05
290tdoort"refrigerator compartment"t"refrigerator"t0.0t0.0312114646830882
291tdoort"egg tray"t"refrigerator"t0.0t0.07320358175691438
292tdoortshelf channelt"refrigerator"t0.0t0.09258727575755009
293tdoort"magnetic gasket"t"refrigerator"t0.0t0.05745523232031698
294tdoort"storage door"t"refrigerator"t0.0t-0.022026250269303924
295tdoortfreezer doort"refrigerator"t0.0t0.04516778077062842
296tdoortguard railt"refrigerator"t0.0t0.02856134688235668
297tdoortcrispert"refrigerator"t0.0t0.010292848456527899
298tdoortglass covert"refrigerator"t0.0t0.04158082127219323
299tdoort"butter compartment"t"refrigerator"t0.0t0.06527645128392874
300tdoort"thermostat control"t"refrigerator"t0.0t0.03891948605831032
301tdoort"freezer compartment"t"refrigerator"t0.0t0.08579660451498093
302tdoort"ice cube tray"t"refrigerator"t0.0t0.045333898330287455
303tdoort"meat keeper"t"refrigerator"t0.0t0.03631450957317859
304tdoort"door stop"t"refrigerator"t0.0t-0.02216785614827417
305tdoortshelft"refrigerator"t0.0t-0.013183128288027104
306tdoort"dairy compartment"t"refrigerator"t0.0t0.04757615817075123
307tdoortdoor shelft"refrigerator"t0.0t0.01874047864624478
308tdoortdrain hosetdishwashert0.0t0.12422436971211889
309tdoort"overflow protection switch"tdishwashert0.0t0.04992801368134879
310tdoort"tub"tdishwashert0.0t0.02216937411016237
311tdoortpumptdishwashert0.0t0.01373003876912391
312tdoort"gasket"tdishwashert0.0t0.006248182312062865
313tdoort"water hose"tdishwashert0.0t0.020943860333212046
314tdoort"heating element"tdishwashert0.0t0.03938103304792643
315tdoortracktdishwashert0.0t-0.0006967876727317534
316tdoort"cutlery basket"tdishwashert0.0t0.12303643604857951
317tdoort"wash tower"tdishwashert0.0t0.037669961076007896
318tdoort"motor"tdishwashert0.0t0.02953961905514865
319tdoort"detergent dispenser"tdishwashert0.0t0.12147776112370173
320tdoortslidetdishwashert0.0t-0.003465137351231615
321tdoort"leveling foot"tdishwashert0.0t0.12177461197593696
322tdoort"insulating material"tdishwashert0.0t0.14257223689899645
323tdoortspray armtdishwashert0.0t0.09259007848286767
324tdoortrinse-aid dispensertdishwashert0.0t0.21993719829937955
325tdoortlocktdoort1.0t-0.003461875696884601
326tdoortcornicetdoort1.0t0.09443136097553138
327tdoort"hanging stile"tdoort1.0t0.07976171319896715
328tdoort"entablature"tdoort1.0t0.06696350424850765
329tdoort"top rail"tdoort1.0t0.11523606736480824
330tdoortmiddle paneltdoort1.0t0.09286428161256866
331tdoort"bottom rail"tdoort1.0t0.13063674720824495
332tdoortpaneltdoort1.0t0.030992133974047025
333tdoortjambtdoort1.0t0.018738792738940066
334tdoortdoorknobtdoort1.0t-0.01601986733438304
335tdoort"threshold"tdoort1.0t0.06258165970092386
336tdoort"weatherboard"tdoort1.0t0.01523975946894092
337tdoortlock railtdoort1.0t0.041288761741785994
338tdoort"shutting stile"tdoort1.0t0.17470826728797229
339tdoortheadertdoort1.0t0.006307886148413291
340tdoortringt"mortise lock"t0.0t-0.09918014267695259
341tdoortkeywayt"mortise lock"t0.0t0.03049508546694503
342tdoort"cotter pin"t"mortise lock"t0.0t-0.004190432786388827
343tdoortspringt"mortise lock"t0.0t0.007963663962742173
344tdoort"rotor"t"mortise lock"t0.0t0.04000034147044514
345tdoortcylinder caset"mortise lock"t0.0t0.0700511112093301
346tdoortkeyt"mortise lock"t0.0t0.01569899452142984
347tdoort"faceplate"t"mortise lock"t0.0t0.07125535893347412
348tdoort"dead bolt"t"mortise lock"t0.0t0.023074414048755064
349tdoortcylindert"mortise lock"t0.0t-0.007769645774790009
350tdoort"stator"t"mortise lock"t0.0t0.050326838522475714
351tdoort"strike plate"t"mortise lock"t0.0t0.07760237275260107
352tdoort"valve seat shaft"t"toilet"t0.0t0.02339987716080106
353tdoort"tank lid"t"toilet"t0.0t0.052203439732999575
354tdoortconical washert"toilet"t0.0t0.12379131507530008
355tdoort"lift chain"t"toilet"t0.0t0.010768301118291934
356tdoort"seat"t"toilet"t0.0t-0.037623072835054575
357tdoort"shutoff valve"t"toilet"t0.0t0.09884445388029307
358tdoort"trip lever"t"toilet"t0.0t0.09670735107843909
359tdoortball-cock supply valvet"toilet"t0.0t0.16617460450088847
360tdoort"toilet bowl"t"toilet"t0.0t0.0017803549628363912
361tdoortflush handlet"toilet"t0.0t0.1344068238957167
362tdoortwax sealt"toilet"t0.0t0.09707246366736995
363tdoort"tank ball"t"toilet"t0.0t-0.07483925009564382
364tdoort"float ball"t"toilet"t0.0t-0.03672858724766136
365tdoort"filler tube"t"toilet"t0.0t0.11796407258616995
366tdoort"waste pipe"t"toilet"t0.0t0.035387522679467015
367tdoort"seat cover"t"toilet"t0.0t-0.01564988583205416
368tdoort"cold-water supply line"t"toilet"t0.0t0.2026046047746514
369tdoort"overflow tube"t"toilet"t0.0t0.12715719613081497
370tdoort"trap"t"toilet"t0.0t-0.00327070727104703
371tdoort"refill tube"t"toilet"t0.0t0.11771194445550258
372t"mortise lock"tpillowtbedt0.0t-0.48161796366853693
373t"mortise lock"t"bolster"tbedt0.0t-0.14692314131479453
374t"mortise lock"t"mattress cover"tbedt0.0t0.08143160082076212
375t"mortise lock"tlegtbedt0.0t-0.513900481212213
376t"mortise lock"tbox springtbedt0.0t0.15451808785252374
377t"mortise lock"theadboardtbedt0.0t-0.13188448357833613
378t"mortise lock"t"mattress"tbedt0.0t-0.4182162556970445
379t"mortise lock"t"pillow protector"tbedt0.0t-0.11683119322678573
380t"mortise lock"t"elastic"tbedt0.0t-0.3772127868944861
381t"mortise lock"t"footboard"tbedt0.0t0.008695322217898243
382t"mortise lock"t"switch"t"refrigerator"t0.0t-0.4242023847056737
383t"mortise lock"t"refrigerator compartment"t"refrigerator"t0.0t0.07943107731333632
384t"mortise lock"t"egg tray"t"refrigerator"t0.0t0.2524607662058631
385t"mortise lock"tshelf channelt"refrigerator"t0.0t0.045564286496200215
386t"mortise lock"t"magnetic gasket"t"refrigerator"t0.0t-0.36841408996368813
387t"mortise lock"t"storage door"t"refrigerator"t0.0t0.05045942223041733
388t"mortise lock"tfreezer doort"refrigerator"t0.0t0.0955099993993722
389t"mortise lock"tguard railt"refrigerator"t0.0t0.05079761314973452
390t"mortise lock"tcrispert"refrigerator"t0.0t-0.03776020020723586
391t"mortise lock"tglass covert"refrigerator"t0.0t-0.1447728680498494
392t"mortise lock"t"butter compartment"t"refrigerator"t0.0t0.0031675282186822335
393t"mortise lock"t"thermostat control"t"refrigerator"t0.0t-0.46267350679526514
394t"mortise lock"t"freezer compartment"t"refrigerator"t0.0t0.20499760682635343
395t"mortise lock"t"ice cube tray"t"refrigerator"t0.0t0.267220592765165
396t"mortise lock"t"meat keeper"t"refrigerator"t0.0t-0.08038768422423023
397t"mortise lock"t"door stop"t"refrigerator"t0.0t0.21541731319825108
398t"mortise lock"tshelft"refrigerator"t0.0t-0.46712111717580224
399t"mortise lock"t"dairy compartment"t"refrigerator"t0.0t0.16848679912501788
400t"mortise lock"tdoor shelft"refrigerator"t0.0t0.17105852227923182
401t"mortise lock"tdrain hosetdishwashert0.0t0.18293541422093273
402t"mortise lock"t"overflow protection switch"tdishwashert0.0t-0.3119951037302641
403t"mortise lock"t"tub"tdishwashert0.0t-0.48650936625913926
404t"mortise lock"tpumptdishwashert0.0t-0.3744836775445371
405t"mortise lock"t"gasket"tdishwashert0.0t-0.05932865292120011
406t"mortise lock"t"water hose"tdishwashert0.0t0.15291508488293984
407t"mortise lock"t"heating element"tdishwashert0.0t0.002134274169543545
408t"mortise lock"tracktdishwashert0.0t-0.4874084748214729
409t"mortise lock"t"cutlery basket"tdishwashert0.0t-0.12695908274045725
410t"mortise lock"t"wash tower"tdishwashert0.0t-0.04647349384161828
411t"mortise lock"t"motor"tdishwashert0.0t-0.4383122133626443
412t"mortise lock"t"detergent dispenser"tdishwashert0.0t-0.6051015795571495
413t"mortise lock"tslidetdishwashert0.0t-0.5560572280100599
414t"mortise lock"t"leveling foot"tdishwashert0.0t-0.056192448894753326
415t"mortise lock"t"insulating material"tdishwashert0.0t-0.033680930018892954
416t"mortise lock"tspray armtdishwashert0.0t-0.10129662174146686
417t"mortise lock"trinse-aid dispensertdishwashert0.0t-0.5610693271312877
418t"mortise lock"tlocktdoort0.0t-0.5059445549153488
419t"mortise lock"tcornicetdoort0.0t-0.4880024929202575
420t"mortise lock"t"hanging stile"tdoort0.0t0.637305330742951
421t"mortise lock"t"entablature"tdoort0.0t-0.5064538113653921
422t"mortise lock"t"top rail"tdoort0.0t-0.07466294161744547
423t"mortise lock"tmiddle paneltdoort0.0t-0.07427328144814932
424t"mortise lock"t"bottom rail"tdoort0.0t-0.07653708721535427
425t"mortise lock"tpaneltdoort0.0t-0.5017194864774502
426t"mortise lock"tjambtdoort0.0t1.6825553474875895e-05
